Company Name (in alphabetical order),Ticker,Market Cap ($ Millions),Price From,Most Recent Quarter Data,Number of dividend payouts in the last 10
Altria Group Inc,MO,"89,214.48",01/02,09/30,40
AMC Networks Inc,AMCX,440.33,01/02,09/30,0
Betterware de Mexico S A P I de C V,BWMX,412.35,01/02,09/30,19
biote Corp,BTMD,187.61,01/02,09/30,0
Bumble Inc,BMBL,897.08,01/02,09/30,0
Collegium Pharmaceutical Inc,COLL,922.74,01/02,09/30,0
Consensus Cloud Solutions Inc,CCSI,463.10,01/02,09/30,0
Crocs Inc,CROX,"6,436.76",01/02,09/30,0
Entrada Therapeutics Inc,TRDA,653.00,01/02,09/30,0
Garrett Motion Inc,GTX,"1,912.93",01/02,09/30,0
GigaCloud Technology Inc,GCT,788.63,01/02,09/30,0
Harmony Biosciences Holdings Inc,HRMY,"1,986.39",01/02,09/30,0
Heidrick & Struggles International Inc,HSII,899.63,01/02,09/30,39
HP Inc,HPQ,"30,069.82",01/02,10/31,40
Innoviva Inc,INVA,"1,089.26",01/02,09/30,3
Interpublic Group of Cos Inc (The),IPG,"10,517.81",01/02,09/30,40
J Jill Inc,JILL,417.25,01/02,10/31,3
Medifast Inc,MED,189.10,01/02,09/30,32
Mesabi Trust,MSB,371.16,01/02,10/31,34
Nathan's Famous Inc,NATH,320.39,01/02,09/30,28
Paramount Global,PARA,"7,056.86",01/02,09/30,39
Pediatrix Medical Group Inc,MD,"1,118.83",01/02,09/30,0
Perdoceo Education Corp,PRDO,"1,716.72",01/02,09/30,6
Playtika Holding Corp,PLTK,"2,567.21",01/02,09/30,3
Puma Biotechnology Inc,PBYI,153.09,01/02,09/30,0
Rimini Street Inc,RMNI,229.83,01/02,09/30,0
SIGA Technologies Inc,SIGA,445.34,01/02,09/30,3
Sirius XM Holdings Inc,SIRI,"7,491.90",01/02,09/30,33
Unisys Corp,UIS,448.78,01/02,09/30,0
Voyager Therapeutics Inc,VYGR,325.62,01/02,09/30,0
